,temperature_2m_mean,city,,,,,,,,,
153,27.6,Colombo,,,,,,,,,
154,27.1,Colombo,,,,,,,,,
155,26.4,Colombo,,,,,,,,,
156,26.5,Colombo,,,,,,,,,
157,27,Colombo,,,,,,,,,
158,27.4,Colombo,,,,,,,,,
159,26.5,Colombo,,,,,,,,,
160,26.1,Colombo,,,,,,,,,
161,26.4,Colombo,,,,,,,,,
162,26.4,Colombo,,,,,,,,,
163,26.4,Colombo,,,,,,,,,
164,26.5,Colombo,,,,,,,,,
165,27.2,Colombo,,,,,,,,,
166,27,Colombo,,,,,,,,,
167,26.3,Colombo,,,,,,,,,
168,26.4,Colombo,,,,,,,,,
169,26.4,Colombo,,,,,,,,,
170,26.7,Colombo,,,,,,,,,
171,26.7,Colombo,,,,,,,,,
172,26.6,Colombo,,,,,,,,,
173,26.3,Colombo,,,,,,,,,
174,27,Colombo,,,,,,,,,
175,27.5,Colombo,,,,,,,,,
176,27,Colombo,,,,,,,,,
177,26.8,Colombo,,,,,,,,,
178,26,Colombo,,,,,,,,,
179,26.6,Colombo,,,,,,,,,
180,26.4,Colombo,,,,,,,,,
181,25.9,Colombo,,,,,,,,,
182,26.2,Colombo,,,,,,,,,
183,26.1,Colombo,,,,,,,,,
184,26.3,Colombo,,,,,,,,,
185,25.8,Colombo,,,,,,,,,
186,26.4,Colombo,,,,,,,,,
187,27,Colombo,,,,,,,,,
188,26.7,Colombo,,,,,,,,,
189,26.6,Colombo,,,,,,,,,
190,27,Colombo,,,,,,,,,
191,26.8,Colombo,,,,,,,,,
192,26,Colombo,,,,,,,,,
193,26.2,Colombo,,,,,,,,,
194,26.2,Colombo,,,,,,,,,
195,26.2,Colombo,,,,,,,,,
196,25.8,Colombo,,,,,,,,,
197,26.1,Colombo,,,,,,,,,
198,26.6,Colombo,,,,,,,,,
199,26.1,Colombo,,,,,,,,,
200,25.9,Colombo,,,,,,,,,
201,26.7,Colombo,,,,,,,,,
202,26.9,Colombo,,,,,,,,,
203,26.8,Colombo,,,,,,,,,
204,26.8,Colombo,,,,,,,,,
205,26.4,Colombo,,,,,,,,,
206,26.8,Colombo,,,,,,,,,
207,26.6,Colombo,,,,,,,,,
208,26.5,Colombo,,,,,,,,,
209,26.5,Colombo,,,,,,,,,
210,26.2,Colombo,,,,,,,,,
211,26.5,Colombo,,,,,,,,,
212,26.7,Colombo,,,,,,,,,
213,26.7,Colombo,,,,,,,,,
214,26.1,Colombo,,,,,,,,,
215,26.4,Colombo,,,,,,,,,
216,26.8,Colombo,,,,,,,,,
217,26.5,Colombo,,,,,,,,,
218,26.6,Colombo,,,,,,,,,
219,26.5,Colombo,,,,,,,,,
220,26.3,Colombo,,,,,,,,,
221,27,Colombo,,,,,,,,,
222,26.9,Colombo,,,,,,,,,
223,26.3,Colombo,,,,,,,,,
224,25.9,Colombo,,,,,,,,,
225,26.4,Colombo,,,,,,,,,
226,26.2,Colombo,,,,,,,,,
227,26,Colombo,,,,,,,,,
228,26.3,Colombo,,,,,,,,,
229,26.2,Colombo,,,,,,,,,
230,26.2,Colombo,,,,,,,,,
231,25.8,Colombo,,,,,,,,,
232,25.7,Colombo,,,,,,,,,
233,26.2,Colombo,,,,,,,,,
234,26.3,Colombo,,,,,,,,,
235,26.2,Colombo,,,,,,,,,
236,26,Colombo,,,,,,,,,
237,26.1,Colombo,,,,,,,,,
