,rain_sum,temperature_2m_mean,city,,,,,,,,
24695,8.2,26.3,Ratnapura,,,,,,,,
24696,5.9,26.3,Ratnapura,,,,,,,,
24697,4.9,26.4,Ratnapura,,,,,,,,
24698,6.1,26.7,Ratnapura,,,,,,,,
24699,7.7,26.5,Ratnapura,,,,,,,,
24700,6.5,26.8,Ratnapura,,,,,,,,
24701,7.9,26.8,Ratnapura,,,,,,,,
24702,7.9,26.2,Ratnapura,,,,,,,,
24703,3.8,26.4,Ratnapura,,,,,,,,
24704,2.4,26.2,Ratnapura,,,,,,,,
24705,12.1,26.3,Ratnapura,,,,,,,,
24706,13.8,26.3,Ratnapura,,,,,,,,
24707,24.1,25.9,Ratnapura,,,,,,,,
24708,20.4,25.3,Ratnapura,,,,,,,,
24709,5.3,26.4,Ratnapura,,,,,,,,
24710,4.1,26.6,Ratnapura,,,,,,,,
24711,8.6,26.6,Ratnapura,,,,,,,,
24712,9.1,26.8,Ratnapura,,,,,,,,
24713,8,25.9,Ratnapura,,,,,,,,
24714,8.7,26.1,Ratnapura,,,,,,,,
24715,8.9,25.6,Ratnapura,,,,,,,,
24716,8.4,25.1,Ratnapura,,,,,,,,
24717,10.3,25,Ratnapura,,,,,,,,
24718,13.2,25.4,Ratnapura,,,,,,,,
24719,50.8,24.9,Ratnapura,,,,,,,,
24720,15.1,24.9,Ratnapura,,,,,,,,
24721,16,25.4,Ratnapura,,,,,,,,
24722,12.6,25.4,Ratnapura,,,,,,,,
24723,15.4,25.3,Ratnapura,,,,,,,,
24724,14,25.4,Ratnapura,,,,,,,,
24725,7.9,25.8,Ratnapura,,,,,,,,
24726,3,26.1,Ratnapura,,,,,,,,
24727,6.6,25.7,Ratnapura,,,,,,,,
24728,3.1,25.8,Ratnapura,,,,,,,,
24729,3.4,25.8,Ratnapura,,,,,,,,
24730,3.6,25.8,Ratnapura,,,,,,,,
24731,5.2,26.5,Ratnapura,,,,,,,,
24732,5.1,26.1,Ratnapura,,,,,,,,
24733,2.2,26.4,Ratnapura,,,,,,,,
24734,9.3,25.8,Ratnapura,,,,,,,,
24735,22.4,24.8,Ratnapura,,,,,,,,
24736,12.1,24.6,Ratnapura,,,,,,,,
24737,23.2,25,Ratnapura,,,,,,,,
