index,rain_sum,city,,,,,,,
169,6.2,Colombo,,,,,,,
170,3.9,Colombo,,,,,,,
171,9.1,Colombo,,,,,,,
172,12.3,Colombo,,,,,,,
173,25.7,Colombo,,,,,,,
174,18.9,Colombo,,,,,,,
175,3.5,Colombo,,,,,,,
176,8.9,Colombo,,,,,,,
177,10.2,Colombo,,,,,,,
178,36.3,Colombo,,,,,,,
179,19.6,Colombo,,,,,,,
180,13.3,Colombo,,,,,,,
181,17.1,Colombo,,,,,,,
182,3.5,Colombo,,,,,,,
183,5.1,Colombo,,,,,,,
184,3.5,Colombo,,,,,,,
185,24.7,Colombo,,,,,,,
186,0.6,Colombo,,,,,,,
187,2.3,Colombo,,,,,,,
188,10,Colombo,,,,,,,
189,5.4,Colombo,,,,,,,
190,2.4,Colombo,,,,,,,
191,2,Colombo,,,,,,,
192,10.9,Colombo,,,,,,,
193,5.2,Colombo,,,,,,,
194,15.4,Colombo,,,,,,,
195,12.5,Colombo,,,,,,,
196,14.6,Colombo,,,,,,,
197,13.9,Colombo,,,,,,,
198,13.1,Colombo,,,,,,,
199,21.4,Colombo,,,,,,,
200,7,Colombo,,,,,,,
201,3.2,Colombo,,,,,,,
202,0.5,Colombo,,,,,,,
203,3.7,Colombo,,,,,,,
204,6.3,Colombo,,,,,,,
205,6.4,Colombo,,,,,,,
206,2.4,Colombo,,,,,,,
207,12.5,Colombo,,,,,,,
208,9,Colombo,,,,,,,
209,2.2,Colombo,,,,,,,
210,5.6,Colombo,,,,,,,
211,4.3,Colombo,,,,,,,
212,1,Colombo,,,,,,,
213,3.1,Colombo,,,,,,,
214,15.5,Colombo,,,,,,,
215,2.7,Colombo,,,,,,,
216,3.1,Colombo,,,,,,,
217,3,Colombo,,,,,,,
218,1.7,Colombo,,,,,,,
219,6.4,Colombo,,,,,,,
220,14.8,Colombo,,,,,,,
221,2.1,Colombo,,,,,,,
222,2.1,Colombo,,,,,,,
223,9.6,Colombo,,,,,,,
224,22.3,Colombo,,,,,,,
225,7,Colombo,,,,,,,
226,3.6,Colombo,,,,,,,
227,5.2,Colombo,,,,,,,
228,1.5,Colombo,,,,,,,
229,1.3,Colombo,,,,,,,
230,1,Colombo,,,,,,,
231,11.6,Colombo,,,,,,,
232,5.6,Colombo,,,,,,,
233,0.7,Colombo,,,,,,,
234,3.4,Colombo,,,,,,,
235,5.7,Colombo,,,,,,,
236,2.2,Colombo,,,,,,,
237,1.7,Colombo,,,,,,,
238,1.9,Colombo,,,,,,,
239,11.8,Colombo,,,,,,,
240,29.7,Colombo,,,,,,,
241,20.2,Colombo,,,,,,,
242,0,Colombo,,,,,,,
243,0,Colombo,,,,,,,
244,1.2,Colombo,,,,,,,
245,3.8,Colombo,,,,,,,
246,1.8,Colombo,,,,,,,
247,1.7,Colombo,,,,,,,
248,3.4,Colombo,,,,,,,
249,1.4,Colombo,,,,,,,
250,5,Colombo,,,,,,,
251,6.7,Colombo,,,,,,,
252,10.9,Colombo,,,,,,,
253,1,Colombo,,,,,,,
254,2.7,Colombo,,,,,,,
255,7.7,Colombo,,,,,,,
256,5,Colombo,,,,,,,
257,5.6,Colombo,,,,,,,
258,6.1,Colombo,,,,,,,
259,1.5,Colombo,,,,,,,
260,31.2,Colombo,,,,,,,
261,14.3,Colombo,,,,,,,
262,4.2,Colombo,,,,,,,
263,8.7,Colombo,,,,,,,
264,16.2,Colombo,,,,,,,
265,18.9,Colombo,,,,,,,
266,40.4,Colombo,,,,,,,
267,4.8,Colombo,,,,,,,
268,6,Colombo,,,,,,,
269,20.6,Colombo,,,,,,,
270,10.5,Colombo,,,,,,,
271,20.2,Colombo,,,,,,,
272,5.6,Colombo,,,,,,,
273,28.3,Colombo,,,,,,,
274,69.3,Colombo,,,,,,,
275,23.1,Colombo,,,,,,,
276,6,Colombo,,,,,,,
277,10.1,Colombo,,,,,,,
278,10.5,Colombo,,,,,,,
279,11.4,Colombo,,,,,,,
280,12.2,Colombo,,,,,,,
281,10,Colombo,,,,,,,
282,2.4,Colombo,,,,,,,
283,3.2,Colombo,,,,,,,
284,1.2,Colombo,,,,,,,
285,0,Colombo,,,,,,,
286,1.1,Colombo,,,,,,,
287,0.5,Colombo,,,,,,,
288,2.3,Colombo,,,,,,,
289,8.3,Colombo,,,,,,,
290,2.3,Colombo,,,,,,,
291,0.8,Colombo,,,,,,,
292,0.1,Colombo,,,,,,,
293,1.7,Colombo,,,,,,,
294,1,Colombo,,,,,,,
295,0,Colombo,,,,,,,
296,2.1,Colombo,,,,,,,
297,0.8,Colombo,,,,,,,
298,0.9,Colombo,,,,,,,
299,8.9,Colombo,,,,,,,
300,14.7,Colombo,,,,,,,
301,18,Colombo,,,,,,,
302,11.7,Colombo,,,,,,,
303,18.3,Colombo,,,,,,,
304,4,Colombo,,,,,,,
305,1.3,Colombo,,,,,,,
306,2.3,Colombo,,,,,,,
307,17.9,Colombo,,,,,,,
308,16.3,Colombo,,,,,,,
309,12,Colombo,,,,,,,
310,8.9,Colombo,,,,,,,
311,1.5,Colombo,,,,,,,
312,8.8,Colombo,,,,,,,
313,49.5,Colombo,,,,,,,
314,115.7,Colombo,,,,,,,
315,0.7,Colombo,,,,,,,
316,2.6,Colombo,,,,,,,
317,5,Colombo,,,,,,,
318,1.7,Colombo,,,,,,,
319,4.2,Colombo,,,,,,,
320,8.8,Colombo,,,,,,,
321,7.8,Colombo,,,,,,,
322,17.7,Colombo,,,,,,,
323,11.1,Colombo,,,,,,,
324,15.2,Colombo,,,,,,,
325,65.7,Colombo,,,,,,,
326,15.4,Colombo,,,,,,,
327,12.9,Colombo,,,,,,,
328,8.3,Colombo,,,,,,,
329,22.9,Colombo,,,,,,,
330,12.3,Colombo,,,,,,,
331,13.6,Colombo,,,,,,,
332,12.2,Colombo,,,,,,,
333,30.9,Colombo,,,,,,,
334,35.2,Colombo,,,,,,,
335,26.1,Colombo,,,,,,,
336,24.1,Colombo,,,,,,,
337,30.9,Colombo,,,,,,,
338,1.8,Colombo,,,,,,,
339,12.7,Colombo,,,,,,,
340,17.8,Colombo,,,,,,,
341,48,Colombo,,,,,,,
342,25.1,Colombo,,,,,,,
343,11.9,Colombo,,,,,,,
344,2.8,Colombo,,,,,,,
345,1.6,Colombo,,,,,,,
346,0,Colombo,,,,,,,
347,0,Colombo,,,,,,,
348,1.1,Colombo,,,,,,,
349,7.2,Colombo,,,,,,,
350,0.8,Colombo,,,,,,,
351,1.3,Colombo,,,,,,,
352,0.3,Colombo,,,,,,,
353,4.3,Colombo,,,,,,,
354,4.5,Colombo,,,,,,,
355,15.6,Colombo,,,,,,,
356,39,Colombo,,,,,,,
357,33.1,Colombo,,,,,,,
358,37,Colombo,,,,,,,
359,0,Colombo,,,,,,,
360,0,Colombo,,,,,,,
361,0.1,Colombo,,,,,,,
362,1.9,Colombo,,,,,,,
363,6.8,Colombo,,,,,,,
364,1.9,Colombo,,,,,,,
365,8.6,Colombo,,,,,,,
366,6.4,Colombo,,,,,,,
367,2.4,Colombo,,,,,,,
368,1.7,Colombo,,,,,,,
369,1,Colombo,,,,,,,
370,0,Colombo,,,,,,,
371,6.5,Colombo,,,,,,,
372,21.2,Colombo,,,,,,,
373,21.9,Colombo,,,,,,,
374,1.4,Colombo,,,,,,,
375,0,Colombo,,,,,,,
376,0.5,Colombo,,,,,,,
377,25.4,Colombo,,,,,,,
378,1.7,Colombo,,,,,,,
379,6.1,Colombo,,,,,,,
380,1.8,Colombo,,,,,,,
381,2.1,Colombo,,,,,,,
382,6.2,Colombo,,,,,,,
383,0.5,Colombo,,,,,,,
384,0,Colombo,,,,,,,
385,0,Colombo,,,,,,,
386,0,Colombo,,,,,,,
387,0,Colombo,,,,,,,
388,0,Colombo,,,,,,,
389,2.4,Colombo,,,,,,,
390,7.2,Colombo,,,,,,,
391,17.4,Colombo,,,,,,,
392,8.7,Colombo,,,,,,,
393,4.1,Colombo,,,,,,,
394,4.6,Colombo,,,,,,,
395,2.8,Colombo,,,,,,,
396,11.1,Colombo,,,,,,,
397,16.5,Colombo,,,,,,,
398,22.1,Colombo,,,,,,,
399,0.2,Colombo,,,,,,,
400,3.5,Colombo,,,,,,,
401,3.9,Colombo,,,,,,,
402,36.6,Colombo,,,,,,,
403,1.7,Colombo,,,,,,,
404,0.3,Colombo,,,,,,,
405,1.3,Colombo,,,,,,,
406,0.1,Colombo,,,,,,,
407,0,Colombo,,,,,,,
408,0,Colombo,,,,,,,
409,0.8,Colombo,,,,,,,
410,0.6,Colombo,,,,,,,
411,0,Colombo,,,,,,,
412,0,Colombo,,,,,,,
413,0.3,Colombo,,,,,,,
414,3.3,Colombo,,,,,,,
415,2.7,Colombo,,,,,,,
416,6.5,Colombo,,,,,,,
417,1.2,Colombo,,,,,,,
418,0.3,Colombo,,,,,,,
419,0.6,Colombo,,,,,,,
420,0.4,Colombo,,,,,,,
421,0,Colombo,,,,,,,
422,0,Colombo,,,,,,,
423,1.5,Colombo,,,,,,,
424,3,Colombo,,,,,,,
425,0.3,Colombo,,,,,,,
426,3.8,Colombo,,,,,,,
427,34.2,Colombo,,,,,,,
428,14.6,Colombo,,,,,,,
429,3.7,Colombo,,,,,,,
430,12.5,Colombo,,,,,,,
431,2.9,Colombo,,,,,,,
432,0,Colombo,,,,,,,
433,0,Colombo,,,,,,,
434,0,Colombo,,,,,,,
435,0.1,Colombo,,,,,,,
436,3.4,Colombo,,,,,,,
437,0.7,Colombo,,,,,,,
438,1,Colombo,,,,,,,
439,0.2,Colombo,,,,,,,
440,1.1,Colombo,,,,,,,
